OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
1,2004-11-08,13.88,-61.71,0,0
2,2004-11-03,14.54,-60.61,0,0
3,1997-11-10,16.07,-61.95,0,0
4,1996-12-24,18.1,-78.53,0,0
5,2004-10-23,28.63,-58.22,0,0
6,2004-10-17,39.71,-67.97,0,0
7,1998-11-08,15.73,-60.3,0,0
8,1993-11-08,13.85,-61.07,0,0
9,2002-02-17,-14.74,-147.8,0,0
10,2002-02-17,-14.7,-147.8,0,0
11,1997-12-11,10.52,-64.7,0,0
12,1993-02-27,10.53,-75.92,0,0
13,1994-12-12,11,-66.07,0,0
14,1996-12-16,11.22,-62.23,0,0
15,1996-12-16,11.23,-62.23,0,0
16,2000-12-07,11.32,-67.08,0,0
17,1994-12-09,11.33,-63.63,0,0
18,1993-11-07,11.38,-59.92,0,0
19,1992-11-08,11.72,-61.9,0,0
20,1994-12-13,11.72,-67.75,0,0
21,1994-12-09,11.78,-62.95,0,0
22,1995-11-13,11.78,-60.42,0,0
23,1993-12-08,11.8,-61.38,0,0
24,1987-12-14,11.94,-68.26,0,0
25,1997-12-13,11.98,-68.1,0,0
26,1994-11-05,12,-61.48,0,0
27,1994-12-15,12.07,-61.98,0,0
28,1995-11-13,12.15,-60.27,0,0
29,1987-12-13,12.27,-67.5,0,0
30,1992-11-08,12.32,-61.88,0,0
31,1993-11-10,12.33,-61.82,0,0
32,1991-11-30,12.35,-64.25,0,0
33,1994-12-10,12.42,-61.93,0,0
34,1997-12-09,12.47,-62.47,0,0
35,1993-03-01,12.48,-78.37,0,0
36,1993-12-06,12.49,-61.68,0,0
37,1987-12-11,12.5,-62.03,0,0
38,1994-12-06,12.57,-61.85,0,0
39,1994-12-15,12.58,-62.77,0,0
40,1997-12-16,12.6,-69.35,0,0
41,1995-11-13,12.95,-60.15,0,0
42,1989-12-12,13.05,-63.12,0,0
43,1991-11-11,13.12,-61.53,0,0
44,1991-12-01,13.18,-62.07,0,0
45,1994-12-07,13.2,-61.32,0,0
46,1987-12-07,13.27,-61.47,0,0
47,1997-12-17,13.32,-69.8,0,0
48,1993-12-17,13.45,-61.73,0,0
49,1994-12-04,13.47,-63.22,0,0
50,1999-11-09,13.47,-60.41,0,0
51,1991-12-13,13.63,-70.97,0,0
52,1992-11-06,13.72,-60.68,0,0
53,1994-12-17,13.9,-65.93,0,0
54,1996-11-11,13.9,-60.15,0,0
55,1993-03-02,13.92,-78.9,0,0
56,1989-12-05,13.98,-61.7,0,0
57,1993-11-03,14.1,-60.78,0,0
58,1992-11-06,14.23,-61.18,0,0
59,1991-11-30,14.53,-63.27,0,0
60,1989-12-13,14.68,-64.43,0,0
61,1992-11-02,14.77,-60.55,0,0
62,1996-11-10,14.8,-60.14,0,0
63,1996-11-20,14.85,-61.69,0,0
64,1997-12-07,14.88,-62.52,0,0
65,1997-12-18,14.9,-70.38,0,0
66,1995-11-08,14.95,-60.43,0,0
67,1989-12-05,15.1,-61.98,0,0
68,1991-12-14,15.1,-73.75,0,0
69,1999-11-08,15.11,-60.49,0,0
70,1994-12-19,15.15,-70.6,0,0
71,1991-11-29,15.22,-64.37,0,0
72,2000-12-18,15.28,-72.43,0,0
73,1997-12-07,15.48,-62.53,0,0
74,1993-03-03,15.57,-78.98,0,0
75,1992-03-03,15.63,-76.2,0,0
76,2000-12-01,15.65,-65.51,0,0
77,2000-12-03,15.73,-65.21,0,0
78,1993-11-18,15.75,-62.5,0,0
79,1989-12-14,15.8,-65.3,0,0
80,1991-11-29,15.87,-63.85,0,0
81,1993-02-19,15.9,-74.97,0,0
82,1994-12-01,15.9,-64.55,0,0
83,1997-12-19,16.02,-71.78,0,0
84,1994-12-19,16.03,-71.08,0,0
85,1992-11-01,16.08,-59.95,0,0
86,1997-12-06,16.1,-62.23,0,0
87,1994-03-06,16.2,-84.6,0,0
88,1989-12-23,16.22,-74.47,0,0
89,1993-03-09,16.22,-85.88,0,0
90,1987-12-27,16.23,-86.26,0,0
91,1992-03-04,16.37,-76.65,0,0
92,1991-12-16,16.38,-76.63,0,0
93,1993-12-15,16.38,-62.83,0,0
94,1989-12-24,16.48,-76,0,0
95,1993-03-07,16.5,-82.18,0,0
96,1994-04-16,16.57,-84.95,0,0
97,1997-12-21,16.62,-75.3,0,0
98,2006-04-12,16.67,-79.33,0,0
99,1989-12-21,16.68,-71.35,0,0
100,1996-11-22,16.68,-62,0,0
101,1997-12-20,16.72,-74.38,0,0
102,1992-11-18,16.73,-63.68,0,0
103,1997-12-24,16.75,-81.12,0,0
104,1996-11-09,16.78,-60.19,0,0
105,1991-12-26,16.87,-86.72,0,0
106,1989-12-26,16.88,-77.5,0,0
107,1997-12-20,16.88,-73.62,0,0
108,1991-11-14,16.92,-62.7,0,0
109,1992-11-01,17.03,-59.57,0,0
110,1994-12-20,17.1,-71.45,0,0
111,1994-12-22,17.15,-76.53,0,0
112,2000-12-21,17.15,-80.35,0,0
113,1992-03-04,17.23,-77.18,0,0
114,1991-12-17,17.32,-78.5,0,0
115,1993-11-01,17.32,-59.93,0,0
116,1996-11-04,17.32,-61,0,0
117,2000-05-15,17.32,-66.41,0,0
118,1989-12-22,17.35,-72.5,0,0
119,2000-05-14,17.37,-65.25,0,0
120,1989-12-17,17.4,-68.78,0,0
121,1993-12-17,17.42,-65.3,0,0
122,1989-11-28,17.8,-64.32,0,0
123,1991-11-27,17.84,-65,0,0
124,1989-12-16,17.9,-67.62,0,0
125,1989-12-16,17.9,-67.82,0,0
126,1997-12-03,17.9,-64.62,0,0
127,1997-12-05,18,-63.85,0,0
128,1989-12-17,18.03,-68.42,0,0
129,1995-11-05,18.07,-60.15,0,0
130,1991-11-26,18.17,-64.72,0,0
131,1991-11-27,18.23,-64.58,0,0
132,1993-12-22,18.38,-75.45,0,0
133,1997-12-04,18.42,-64.32,0,0
134,1993-12-19,18.47,-67.82,0,0
135,1993-12-01,18.48,-64.25,0,0
136,1996-11-03,18.52,-60.49,0,0
137,1993-02-20,18.8,-74.97,0,0
138,1991-03-14,19.03,-79.65,0,0
139,1992-10-31,19.57,-59.48,0,0
140,2001-02-20,19.82,-75.51,0,0
141,2001-05-12,19.83,-65.17,0,0
142,1997-02-27,19.97,-69.03,0,0
143,1996-11-02,20.03,-60.15,0,0
144,1991-12-27,20.43,-71.17,0,0
145,1991-12-27,20.68,-71.58,0,0
146,1991-12-18,20.98,-68.28,0,0
147,1993-02-15,21.1,-72.87,0,0
148,1993-12-28,21.28,-72.72,0,0
149,1991-12-28,21.32,-72.38,0,0
150,1990-04-16,21.75,-69.57,0,0
151,1991-10-24,22.05,-58.63,0,0
152,2001-05-15,22.12,-65.82,0,0
153,1990-04-26,22.2,-70.72,0,0
154,1990-04-12,22.27,-73.75,0,0
155,1996-02-18,23.27,-74.92,0,0
156,1991-03-22,23.47,-83.2,0,0
157,1993-01-27,23.74,-80.69,0,0
158,1996-05-05,23.83,-81.97,0,0
159,2004-01-27,23.85,-81.88,0,0
160,1994-01-14,24.05,-80.15,0,0
161,1994-01-14,24.1,-81.03,0,0
162,1997-03-26,24.1,-80.57,0,0
163,1998-01-06,24.1,-82.25,0,0
164,1996-03-25,24.18,-83.73,0,0
165,1998-01-07,24.18,-81,0,0
166,2001-02-12,24.19,-80.66,0,0
167,1992-04-26,24.22,-74.98,0,0
168,2000-01-05,24.24,-81.83,0,0
169,1993-01-16,24.53,-83.35,0,0
170,1992-01-02,24.6,-80.62,0,0
171,1990-04-11,24.62,-72.03,0,0
172,1992-03-19,24.73,-83.47,0,0
173,1997-03-27,24.77,-79.73,0,0
174,2004-01-29,24.78,-83.3,0,0
175,1992-04-23,24.82,-75.98,0,0
176,1992-01-02,24.9,-79.67,0,0
177,1992-01-03,25.25,-79.83,0,0
178,1997-05-14,25.27,-77.23,0,0
179,1999-02-19,25.27,-68.2,0,0
180,1992-04-05,25.4,-75.18,0,0
